ravii_rana,b'#DDay T-2 Hours @dsccgc @GoogleDevsIN #ExploreML https://t.co/BVMAazyAVt'
EstherWhambuoy,b'RT @DscMeru: Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjL\xe2\x80\xa6'
Suryamaithreya1,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
gdgmumbai,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
nandkk05,b'Be ready \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #exploreml #developerstudentclubs #dsc @dsccgc\n@GoogleDevsIN https://t.co/Md08uSdcss'
KediaRasika,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
Naushy90,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
karthik_padman,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
cse_as,"b""RT @Nikkitagandhi: #Bangalore, here's an opportunity for you to #ExploreML\xf0\x9f\x98\x8e https://t.co/4FbCINp5yD"""
_ashutoshsingh5,b'RT @akshi__11: On 04/10/19 I conducted the 2nd session for my beginners track of #ExploreML Academy workshops. We dived deep into the mathe\xe2\x80\xa6'
thepushkarp,b'RT @akshi__11: On 04/10/19 I conducted the 2nd session for my beginners track of #ExploreML Academy workshops. We dived deep into the mathe\xe2\x80\xa6'
neerajrajpuroh2,b'RT @akshi__11: On 04/10/19 I conducted the 2nd session for my beginners track of #ExploreML Academy workshops. We dived deep into the mathe\xe2\x80\xa6'
akshi__11,b'On 04/10/19 I conducted the 2nd session for my beginners track of #ExploreML Academy workshops. We dived deep into\xe2\x80\xa6 https://t.co/UlCHyUcVEA'
KipngetichDenn5,"b""RT @frankline_kihiu: The Quick Draw game \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \nSome people's drawings skills are just ''amazing'' \xf0\x9f\x98\x85\xf0\x9f\x98\x85\n#exploreml #DeveloperStudentClubs #DSCMe\xe2\x80\xa6"""
NisheanD,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
abhijithneil,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
dscnsec,b'RT @khushbooverma_: So glad to successfully facilitate the Beginner track of #ExploreML program! \xe2\x9d\xa4\xef\xb8\x8f Looking forward to the next track!\n@Goo\xe2\x80\xa6'
dscnsec,b'RT @ss_sachinsingla: Completed with the Beginner Track!\xf0\x9f\x99\x8c\nIt really feels great to have touched so many lives through the awesome program.\nM\xe2\x80\xa6'
dscnsec,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
ashishrajs,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
dscnsec,"b""RT @Nikkitagandhi: #Bangalore, here's an opportunity for you to #ExploreML\xf0\x9f\x98\x8e https://t.co/4FbCINp5yD"""
BibinJohny_,b'@joys_k_mathew @glugmvit @dewanshrawat15 @GoogleDevsIN @RAVIJAINPRO @shadabhusain786 @kerala Sure! One beginner tra\xe2\x80\xa6 https://t.co/lZnFdVB6LG'
saxenakanishk,"b""RT @Nikkitagandhi: #Bangalore, here's an opportunity for you to #ExploreML\xf0\x9f\x98\x8e https://t.co/4FbCINp5yD"""
SteveChacha5,b'It was nice platform where we learnt alot. Big up for the team behind the successation of these great event of expl\xe2\x80\xa6 https://t.co/GMA6OFCgUr'
lyon_mwangi,b'RT @DscMeru: Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjL\xe2\x80\xa6'
atifazeez77,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
imShreyasPatil,b'@GoogleDevsIN @RAVIJAINPRO @shadabhusain786 @glugmvit Is there any future plan about hosting #ExploreML in Pune?'
himanshijindgar,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
RaghsFremont,"b'RT @GoogleDevsIN: If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of Technol\xe2\x80\xa6'"
Nikkitagandhi,b'@ss_sachinsingla @GoogleDevsIN @GoogleAI Go Sachin\xf0\x9f\x98\x8e Hit a century of #ExploreML workshops \xf0\x9f\xa5\xb3'
gauravsaha0,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
GoogleDevsIN,"b'If you\xe2\x80\x99re a university student who aspires to learn ML, Facilitator @suryamaithreya1 from Coimbatore Institute of T\xe2\x80\xa6 https://t.co/B38VL4ForU'"
Nikkitagandhi,"b""#Bangalore, here's an opportunity for you to #ExploreML\xf0\x9f\x98\x8e https://t.co/4FbCINp5yD"""
innovators_must,"b""RT @frankline_kihiu: The Quick Draw game \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \nSome people's drawings skills are just ''amazing'' \xf0\x9f\x98\x85\xf0\x9f\x98\x85\n#exploreml #DeveloperStudentClubs #DSCMe\xe2\x80\xa6"""
SteveChacha5,b'RT @DscMeru: @zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequence Presentat\xe2\x80\xa6'
udlive,b'RT @DscMeru: Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjL\xe2\x80\xa6'
lyon_mwangi,b'RT @DscMeru: @zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequence Presentat\xe2\x80\xa6'
EricaKHanson,b'RT @DscMeru: Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjL\xe2\x80\xa6'
ReubenKihiu1,b'RT @frankline_kihiu: We are just starting join us on Thursday this week for more. \n\nThanks to @googledevs @googlestudents &amp; the @DscMeru fa\xe2\x80\xa6'
JeffBil21225507,"b""RT @MeruUniversity: We look forward to hosting the first Explore ML Beginner's Workshop on 8th &amp; 10th October 2019 at our main campus.\n\nMor\xe2\x80\xa6"""
JeffBil21225507,b'RT @DscMeru: @zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequence Presentat\xe2\x80\xa6'
andie78732475,b'#exploreml #DeveloperStudentClubs #DSCSSA #DSCM happenning at MUST \xf0\x9f\x92\xaf experience is just awesome \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5'
dscimsu,b'RT @DscMeru: Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjL\xe2\x80\xa6'
Ericreal9,b'RT @DscMeru: @zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequence Presentat\xe2\x80\xa6'
zaburioba,b'RT @DscMeru: Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjL\xe2\x80\xa6'
zaburioba,b'RT @DscMeru: @zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequence Presentat\xe2\x80\xa6'
Kevahere,b'RT @frankline_kihiu: We are just starting join us on Thursday this week for more. \n\nThanks to @googledevs @googlestudents &amp; the @DscMeru fa\xe2\x80\xa6'
lyon_mwangi,"b""RT @frankline_kihiu: The Quick Draw game \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \nSome people's drawings skills are just ''amazing'' \xf0\x9f\x98\x85\xf0\x9f\x98\x85\n#exploreml #DeveloperStudentClubs #DSCMe\xe2\x80\xa6"""
Jescintar,b'RT @DscMeru: @zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequence Presentat\xe2\x80\xa6'
wayne_gakuo,b'RT @DscMeru: @zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequence Presentat\xe2\x80\xa6'
frankline_kihiu,b'We are just starting join us on Thursday this week for more. \n\nThanks to @googledevs @googlestudents &amp; the @DscMeru\xe2\x80\xa6 https://t.co/iqQNNDbpoz'
DscMeru,b'@zaburioba explain the different concepts in Machine Learning.\xf0\x9f\x91\x87\n\xe2\x97\x8fClassification \n\xe2\x97\x8fClustering \n\xe2\x97\x8fRegression \n\xe2\x97\x8fSequenc\xe2\x80\xa6 https://t.co/j5nas3oimI'
DscMeru,"b""RT @frankline_kihiu: The Quick Draw game \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \nSome people's drawings skills are just ''amazing'' \xf0\x9f\x98\x85\xf0\x9f\x98\x85\n#exploreml #DeveloperStudentClubs #DSCMe\xe2\x80\xa6"""
frankline_kihiu,"b""The Quick Draw game \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 \nSome people's drawings skills are just ''amazing'' \xf0\x9f\x98\x85\xf0\x9f\x98\x85\n#exploreml #DeveloperStudentClubs\xe2\x80\xa6 https://t.co/nUk9Vx7toy"""
Tunchy83629526,b'#exploreML #dscMeru #developersstudentsclub\nEnjoying machine learning in #meruUniversity Thanks to innovators club\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5'
DscMeru,b'Just started the Explore ML workshop @MeruUniversity \n#exploreml #DeveloperStudentClubs #DSCSSA #DSCMeru https://t.co/4vlTnGjLO5'
nandkk05,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
rosh_ray_,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
dscuietmdu,"b""Hi there!\xf0\x9f\x98\x80\nWe're excited to bring Google's Explore ML to our college. This program is intended for those who wish t\xe2\x80\xa6 https://t.co/dCF8Oxdd7l"""
ashishrajs,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
Prakhar67992930,b'RT @Nikkitagandhi: Best of #ExploreML at #TFRoadshow \xf0\x9f\x98\x8e https://t.co/4jb13OKGJU'
GDGCochin,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
praj_22,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
kartik_derasari,"b'Think. Build. Innovate.\nCheck out for the everyday problems you face and try brainstorming it and, building a solut\xe2\x80\xa6 https://t.co/N3KME32Xli'"
karthik_padman,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
RohitKhirraiyya,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
prasannavijayan,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
kavinrajuS,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
ss_sachinsingla,b'Completed with the Beginner Track!\xf0\x9f\x99\x8c\nIt really feels great to have touched so many lives through the awesome program\xe2\x80\xa6 https://t.co/HZTlNY4Le0'
StalwartCoder,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
GDGChennai,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
wtmchennai,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
dntandan,b'RT @GoogleDevsIN: University students\xf0\x9f\x93\xa2 Here is your chance to be a part of the #ExploreML workshop by a #ML facilitator. You will cover the\xe2\x80\xa6'
